DOM_EDIFIC,OTRAS_ENTR,NOMBRE_EST,NOMB_ABREV,TELEFONO,CORREO_WEB,NIVTIP,DEPFUN,LONGITUDE,LATITUDE,GEOJSON
Hidalgo 378,,Hidalgo,Hidalgo,4903-5920,,PriCom,Gestion Privada,-58.4395868071113,-34.6149995261397,"{""type"":""Point"",""coordinates"":[-58.43959,-34.615]}"
Serrano 930,Serrano 946,Inst. Ecos,I Ecos,4777-1502,secretaria@ecos.esc.edu.ar,MedCom,Gestion Privada,-58.4374460509211,-34.5931547294648,"{""type"":""Point"",""coordinates"":[-58.43745,-34.59315]}"
Lautaro 122,,Inst. Casa Verde,I Casa Verde,4631-6379,,IniCom - PriCom - MedCom,Gestion Privada,-58.4568727399975,-34.6287400469507,"{""type"":""Point"",""coordinates"":[-58.45687,-34.62874]}"
Lascano 2776,,Los Altos,Los Altos,4501-2404,,IniCom,Gestion Privada,-58.4835220818954,-34.6061383907906,"{""type"":""Point"",""coordinates"":[-58.48352,-34.60614]}"
Lavalle 2083,,Inst. Privado Radeotea,Inst. Privado Radeotea,4952-5653,,SNUCom,Gestion Privada,-58.3966548100422,-34.6031801167293,"{""type"":""Point"",""coordinates"":[-58.39665,-34.60318]}"
Jerónimo Salguero 2969,,Inst. Bayard,I Bayard,4803-0902/0839,bay@bayard.esc.edu.ar,MedCom,Gestion Privada,-58.4061547341698,-34.5781249860609,"{""type"":""Point"",""coordinates"":[-58.40615,-34.57812]}"
Pringles 268,,Inst. Dr. Ramon Carrillo,I Dr. Ramon Carrillo,4981-9370,ramoncarrillo@edu.ar,SNUCom,Gestion Privada,-58.4277596934278,-34.6093261439367,"{""type"":""Point"",""coordinates"":[-58.42776,-34.60933]}"
Olleros 2110,O'Higgins 1428,Inst. Priv. Coleg. Master,Inst. Priv. Colegio Master,4514-5470,mastercolle@uol.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.441380591143,-34.5680369730241,"{""type"":""Point"",""coordinates"":[-58.44138,-34.56804]}"
Serrano 1116,,San Gregorio,San Gregorio,4776-3872,sangreg@ciudad.com.ar,IniCom - PriCom,Gestion Privada,-58.4354023026231,-34.5919357164861,"{""type"":""Point"",""coordinates"":[-58.4354,-34.59194]}"
Avda. Crisólogo Larralde 2767,,Inst. R. P. Hansen,Inst. R. P. Hansen,4702-8630,colegiohansen@ciudad.org,IniCom - PriCom,Gestion Privada,-58.471471724082,-34.5506371440409,"{""type"":""Point"",""coordinates"":[-58.47147,-34.55064]}"
Avda. Nazca 750,,Escuela Integral Maimonides,Esc. Int. Maimonides,4613-7900 4611-9824,agnoat@ciudad.com.ar,IniCom - PriCom,Gestion Privada,-58.472917076113,-34.6237184830619,"{""type"":""Point"",""coordinates"":[-58.47292,-34.62372]}"
Cullen 5690,Franklin Delano Roosevelt 5678,Inst. Tomas Devoto,Inst. Tomás Devoto,4571-2019,,IniCom - PriCom - MedCom,Gestion Privada,-58.4941453711151,-34.5764852688432,"{""type"":""Point"",""coordinates"":[-58.49415,-34.57649]}"
Helguera 3071,Pedro Lozano 3064,Inst. Schiller,Inst. Schiller,4501-5929/0293,schillerschule@vol.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4935434013743,-34.6009406996714,"{""type"":""Point"",""coordinates"":[-58.49354,-34.60094]}"
Martiniano Leguizamón 3951,,Colegio San Martin de los Andes,Colegio San Martín de los Andes,4602-5171,smda@topmail.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4771952714049,-34.6752826187887,"{""type"":""Point"",""coordinates"":[-58.4772,-34.67528]}"
Paraguay 1867,,Inst. Superior de Estrategia y Administracion de Negocios,Inst. Sup. de Estrategia y Administración,4812-7115,isean@levymarketing.com,SNUCom,Gestion Privada,-58.3941445994161,-34.598608649323,"{""type"":""Point"",""coordinates"":[-58.39414,-34.59861]}"
Avda. Cabildo 2967,,Escuela Argentina de Psicomotricidad - A.C.E.S,Escuela Argentina de Psicomotricidad  ACE,4702-5620/1142,psicomotricidades@ciudad.com.a,SNUCom,Gestion Privada,-58.4629371144442,-34.5546719900312,"{""type"":""Point"",""coordinates"":[-58.46294,-34.55467]}"
Avda. Córdoba 1690,,Escuela Argentina de Negocios,Esc. Argentina de Negocios,5032-3900,,SNUCom,Gestion Privada,-58.3913769431531,-34.5996762395272,"{""type"":""Point"",""coordinates"":[-58.39138,-34.59968]}"
Humberto Iş 102,,Inst. Priv. de Educ. Técnica y Formación Profesional 13,I. Priv. de E. Técnica y Form.Profesional,4361-7075,,MedCom,Gestion Privada,-58.3672048921204,-34.6207211269812,"{""type"":""Point"",""coordinates"":[-58.3672,-34.62072]}"
Manuel Ugarte 2815,,Inst. Sup. Educ. Salud de Ciencias,Inst. Sup. Educ. Salud de Ciencias,4783-0586,,SNUCom,Gestion Privada,-58.4657665327953,-34.5581631263319,"{""type"":""Point"",""coordinates"":[-58.46577,-34.55816]}"
