DOM_EDIFIC,OTRAS_ENTR,NOMBRE_EST,NOMB_ABREV,TELEFONO,CORREO_WEB,NIVTIP,DEPFUN,LONGITUDE,LATITUDE,GEOJSON
Avda. Triunvirato 3626,,Esc. de Recuperacion N° 14,ER 14,4521-8869,,PriEsp,Educ. Especial,-58.4725378554445,-34.5822708758322,"{""type"":""Point"",""coordinates"":[-58.47254,-34.58227]}"
La Rioja 660,,Ciclo Basico de Formacion Ocupacional N° 01 Evita,CBO 01,4931-0182,,Otras,Educ. Media,-58.4079889844093,-34.6176218580255,"{""type"":""Point"",""coordinates"":[-58.40799,-34.61762]}"
Baldomero Fernández Moreno 1783,,Inst. José de San Martín,I. José de San Martín,4631-0155,,PriAdu,Gob. Nacional,-58.4505030050564,-34.633599123924,"{""type"":""Point"",""coordinates"":[-58.4505,-34.6336]}"
Miranda 4173,,Centro Educativo de Nivel Secundario N° 73,CENS 73,4648-1632,,MedAdu,Educ. Adultos,-58.4973674572093,-34.6168469357936,"{""type"":""Point"",""coordinates"":[-58.49737,-34.61685]}"
Acassuso 5860,,Esc. de Comercio N° 32 José Leon Suarez (sede),EC 32 (s),4641-1817/5055,,MedCom,Educ. Media,-58.5085852436024,-34.6441348994611,"{""type"":""Point"",""coordinates"":[-58.50859,-34.64413]}"
La Pampa 3855,,Esc. Primaria Comun N° 18 Jose Hernandez,EPjc 18,4552-0867,,PriCom,Educ. Primaria,-58.468700287851,-34.5730767144837,"{""type"":""Point"",""coordinates"":[-58.4687,-34.57308]}"
Hortiguera 742,,Esc. de Recuperacion N° 08 Luis  Vernet,ER 08,4432-5229,,PriEsp,Educ. Especial,-58.4436796305174,-34.6309926275731,"{""type"":""Point"",""coordinates"":[-58.44368,-34.63099]}"
Larrea 854,,Centro Educativo de Nivel Secundario N° 24,CENS 24 UPCN,4322-7072/1241,,MedAdu,Educ. Adultos,-58.4024248388674,-34.5983582531809,"{""type"":""Point"",""coordinates"":[-58.40242,-34.59836]}"
Jean Jaurés 735,,Curso Vocacional de Folklore N° 26,CV Folk 26,,,Otras,Educ. Artistica,-58.4078030965169,-34.6017642040093,"{""type"":""Point"",""coordinates"":[-58.4078,-34.60176]}"
Sarmiento 2233,,Cursos Especiales para Adultos - Sociedad Hebraica,CEA Hebraica,,,Otras,Educ. Adultos,-58.3985201720977,-34.6058134546793,"{""type"":""Point"",""coordinates"":[-58.39852,-34.60581]}"
Caracas 2372,,Jardin de Infantes Nucleado D (EPCjc 26/14ş),JIN D (26),4581-8571,,IniCom,Educ. Inicial,-58.4758777538213,-34.6053288573548,"{""type"":""Point"",""coordinates"":[-58.47588,-34.60533]}"
Arregui 6840,,Jardin de Infantes Nucleado B (EPCjs 14/18ş) [Sede],JIN B (14) (s),4644-1728,,IniCom,Educ. Inicial,-58.5284128940543,-34.6294861279154,"{""type"":""Point"",""coordinates"":[-58.52841,-34.62949]}"
Punta Arenas 1201,,IUPFA,IUPFA,,,MedAdu,Gob. Nacional,-58.4694048106649,-34.5901234392309,"{""type"":""Point"",""coordinates"":[-58.4694,-34.59012]}"
Lafinur 3331,,Centro Educativo Santa Elena,CE Santa Elena,4672-2684,,Otras,Educ. Adultos,-58.4121711813345,-34.5772960559564,"{""type"":""Point"",""coordinates"":[-58.41217,-34.5773]}"
Bolívar 191,,Programa Primera Infancia Sede,PPI sede,,,Otras,Inclusion Escolar,-58.3736131451488,-34.61009376028,"{""type"":""Point"",""coordinates"":[-58.37361,-34.61009]}"
San Martín 458,,Esc. Primaria Comun N° 13 Gral. San Martin,EPjc 13,4394-5932 4322-0596,,PriCom,Educ. Primaria,-58.3739795797462,-34.6026596866985,"{""type"":""Point"",""coordinates"":[-58.37398,-34.60266]}"
Lautaro 752,,Esc. de Musica N° 07,EMus 07,4631-6277,,Otras,Educ. Primaria,-58.4536577725408,-34.6353022054586,"{""type"":""Point"",""coordinates"":[-58.45366,-34.6353]}"
